"1","Arah Utara","memberikan keberuntungan untuk anda seputar karir, bisnis dan yang lainnya"
"2","Arah Selatan","identik dengan keberuntungan dalam hal popularitas, penghargaan kekuasaan dan juga pengakuan."
"3","Arah Barat","untuk seseorang yang ingin segera memiliki keturunan."
"4","Arah Barat Daya","identik dengan keharmonisan sebuah keluarga."
"5","Arah Barat Laut","identik dengan kontribusi ekonomi yang cukup tinggi."
"6","Arah Timur","identik dengan keberuntungan dalam hal kesehatan."
"7","Arah Timur Laut","identik dengan keberuntungan dalam bidang pendidikan dan bisnis"
"8","Arah Tenggara","identik dengan kekayaan."
"9","dummy","dummy"
"1","Rumah Tinggal Tunggal"
"2","Rumah Tinggal Koppel"
"3","Rumah Gandeng"
"4","Rumah Kota"
"5","Rumah Susun"
"6","Rumah Berpekarangan Dalam"
"7","Maisonet"
"8","Rumah Teras Bertingkat"
"1","Cul De Sac","Jalan buntu"
"2","Interiror Lot","terletak di tengah blok"
"3","T-Intersection Lot","tusuk sate"
"4","Corner Lot","kavling sudut/hoek"
"5","Key Lot","terletak di tengah kavling lain"
"6","Flag Lot","Kavling bentuk L"
"13","cipolerat_1590497379.jpg","6"
"14","hos4185480-rumah-di-jual-di-bandung-kota-bandung-15760604342728_1590497436.jpg","1"
"15","hos4359925-rumah-di-jual-di-bojongsoang-bandung-15789835895645_1590497446.jpg","2"
"16","hos4360216-rumah-di-jual-di-bojongsoang-bandung-15789834417276_1590497457.jpg","3"
"17","hos4571644-rumah-di-jual-di-arcamanik-bandung-15576615155289_1590497467.jpg","4"
"18","hos5300783-rumah-di-jual-di-bojongsoang-bandung-15789840073332_1590497477.jpg","5"
"19","aps2172306-apartemen-di-jual-di-pasar-minggu-jakarta-selatan-15833912497294_1590497519.jpg","6"
"21","caca_1590497753.jpg","35"
"22","ujung berung_1590497793.jpg","7"
"23","hos6102890-rumah-di-jual-di-cimahi-utara-cimahi-15814713737991_1590738924.jpg","45"
"24","hos6440403-rumah-di-jual-di-pameungpeuk-bandung-15870152402198_1590738985.jpg","61"
"25","hos6362538-rumah-di-jual-di-buah-batu-bandung-15868780560073_1590739025.jpg","113"
"26","3cfae518fd7e81a310fda023f4a80ab8_1590739116.jpg","45"
"1","Full Furnished"
"2","Semi Furnished"
"3","Unfurnished"
"1","Andir"
"2","Antapani"
"3","Arcamanik"
"4","Astana Anyar"
"5","Babakan Ciparay"
"6","Bandung Kidul"
"7","Bandung Kulon"
"8","Bandung Wetan"
"9","Batununggal"
"10","Bojongloa Kaler"
"11","Bojongloa Kidul"
"12","Buahbatu"
"13","Cibeunying Kaler"
"14","Cibeunying Kidul"
"15","Cibiru"
"16","Cicendo"
"17","Cidadap"
"18","Cinambo"
"19","Coblong"
"20","Gegebage"
"21","Kiara Condong"
"22","Lengkong"
"23","Mandalajati"
"24","Panyileukan"
"25","Rancasari"
"26","Regol"
"27","Sukajadi"
"28","Sukasari"
"29","Sumur Bandung"
"30","Ujung Berung"
"1","2014_10_12_000000_create_users_table","1"
"2","2014_10_12_100000_create_password_resets_table","1"
"3","2019_08_19_000000_create_failed_jobs_table","1"
"4","2020_01_31_082645_create_rumahs_table","1"
"5","2020_02_10_120458_create_gambar_table","1"
"6","2020_04_14_155421_create_kecamatans_table","1"
"7","2020_04_14_155940_create_sertifikats_table","1"
"8","2020_04_14_160243_create_arah_bangunans_table","1"
"9","2020_04_14_160739_create_bentuk_bangunans_table","1"
"10","2020_04_14_161157_create_bentuk_tanahs_table","1"
"11","2020_04_14_161331_create_interior_rumahs_table","1"
"12","2020_04_14_183456_add_id_kecamatan_to_rumah","1"
"13","2020_04_14_184502_add_id_sertifikat_to_rumah","1"
"14","2020_04_14_184634_add_id_interior_to_rumah","1"
"15","2020_04_14_184647_add_id_arah_bangunan_to_rumah","1"
"16","2020_04_14_184701_add_id_bentuk_bangunan_to_rumah","1"
"17","2020_04_14_184712_add_id_bentuk_tanah_to_rumah","1"
"18","2020_04_14_210007_add_id_rumah_to_gambar","1"
"1","1","Jl. Kembar Timur, Cigereleng","3","4","4.50E+08","175","75","2","5","2","1000.00","08132089372","Rumah siap huni",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2","2","1",NULL,NULL,"26","2",NULL,"1",NULL,NULL
"2","1","Jl. Inhoftank, Pelindung Hewan","2","5","3.60E+08","150","50","3","3","4","1000.00","0873232121","Rumah keren",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1",NULL,NULL,NULL,"4","2",NULL,"3",NULL,NULL
"3","1","Jl. Pahlawan","4","2","4.00E+08","160","60","2","4","2","1000.00","0867632612","RUmah siap huni dan indah",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2","1",NULL,NULL,"13","1",NULL,"3",NULL,NULL
"4","1","Jl. Permata Tamansari no 10","3","4","4.99E+08","84","65","1","2","1","1300.00","08132193473","Deskripsi
  Cherry homes hunian jaman modern harga Promo 400000000-an
  Buruan segera miliki unitnya sebelum kehabisan, mumpung harga masih PROMO juga cuma 499 juta!!
 
 
 
 type 38/65 ( 2KT dan 1Km)
 
 ruang tamu
 
 dapur
 
 carport
 
 halaman
 
 SHM
 
 
 
 keunggulan :
 
 - lokasi strategis
 
 - bebas banjir
 
 - dekat sarana pendidikan,kesehatan
 
 - dekat pusat perbelanjaan
 
 - dekat tol gede bage dan buah batu
 
 
 
 buruan beli sekarang juga ,info hubungi :
 
 ANNA
 
 Call/Wa: 081937998899
 ",NULL,"1","1",NULL,"0","1","1","1",NULL,"1","1",NULL,"1","3","1","2","6","4","2"
"5","1","Jl. Terusan Dursasana","3","4","5.50E+09","375","408","2","4","3","2200.00","0827361212","Deskripsi
  Dijual Rumah di Daerah Pasteur, Bandung Utara
  Dijual Rumah di Daerah Pasteur - Bandung Utara.
 
 Lt 375 m / Lb 408 m, SHM, 4kt, 3km, garasi 2 mbl, carport 1 mbl, air jet pump, listrik 2200w, tanah kotak, Semi Furnish (AC 1 unit , Lemari Baju , Meja Hias, Kitchen set, Water Heater Solahart), dekat Tol Pasteur dan kampus Maranatha, security 24 jam, nyaman untuk rumah tinggal, cluster.
 
 Harga Rp 5,5M.
 
 
 
 Support Banking by BCA, Panin, UOB, May Bank, Permata, OCBC Nisp, CIMB Niaga, Muamalat, Danamon.
 
 
 
 More info :
 
 Gerry ""GM Property""
 
 Tlp/WA : wa.me/6281910118921
 
 Personal Web : gerrygmpro.agent.co.id
  ","1","1",NULL,NULL,"1",NULL,NULL,"1","2","1","1","1","1","16","1","2","3","4","2"
"6","1","Jl. Ciporeat no 5, Passangrahan","3","4","8.50E+08","72","45","1","2","1","1300.00","087868657200","
Rumah minimalis 1 lantai design modern 
 Rumah minimalis 1 lantai design modern 
 
 
 informasi website:
 
 https://indiproperti.com/grand-bahagia-asri-bandun
 g/
 
 
 
 perumahan grand bahagia asri memiliki lokasi strategis, hanya 350 meter ke carrefour  dan kantor samsat.
 
 
 
 info website:
 
 https://indiproperti.com/grand-bahagia-asri-bandun
 g/
 
 
 
 fasilitas dalam perumahan:
 
 a.memiliki kartu pass automatic barrier gate
 
 b.CYYV 24 Jam
 
 c.Security 24 Jam
 
 d. Playground
 
 e. Taman tematik
 
 f. joging treck
 
 g. Masjid
 
 
 
 askes kelokasi
 
 2 KM dari pintu tol buah batu
 
 2 KM dari transmart bubat
 
 3 KM ke Trans studio
 
 3 KM ke rumah sakit al islam
 
 2.5 KM ke telkom university
 
 
 
 dapatkan hunian terbaik kami. sertifikat sdh splitsing
 
 IMB : 503.648.1/3186/BPPT
 
 
 
 informasi hubungi: zainal kamal
 
 wa: 0857 5900 6008
  ","1","1",NULL,"1",NULL,NULL,"1","1",NULL,"1","1","1","1","30","1","3","3","4","2"
"7","1","Jl. Ujung Berung no 43","4","2","9.50E+08","110","100","1","3","2","1300.00","081321843521","
Rumah siap huni 
luas tanah 110 m2
 
bangunan 100 m2
 
lokasi strategis dekat dengan Transmart, Carrefour Samsat
 
Info lengkap dan kunjungan
 
 Hubungi: Rahma
 
 MASTERPro
  ","1",NULL,"1",NULL,"1","1","1","1","1","1","1",NULL,"1","30","3","3","3","4","2"
"8","1","Jl. Raden Mochtar no 140","4","3","1.18E+09","233","95","1","3","2","1300.00",,"Deskripsi
  Rumah halaman luas udara pegunungan di ujung Berung Bandung timur
  GAYA TOWN HILLS - SINDANGLAYA
 
 
 
 Hunian Eksklusif hanya 2 unit di Sindanglaya menyuguhkan suasana pegunungan yang sejuk di kawasan Bandung Timur (daerah berkembang Kota Bandung). Cocok untuk Anda yang ingin menikmati waktu santai dengan hunian nyaman. Bisa Anda dapatkan dengan harga yang bersahabat tentunya hanya 1,175 M / unit!
 
 
 
 Spesifikasi :
 
 Luas Tanah 233 m2
 
 Luas Bangunan 95 m2
 
 Kamar Tidur 3
 
 Kamar Mandi 2
 
 Lebar Muka 10 m
 
 Listrik 1.300 Watt
 
 Ruang Keluarga
 
 Ruang Tamu
 
 Dapur Elegan
 
 Carport 2 mobil
 
 Kolam ikan
 
 Taman depan dan belakang
 
 
 
 Legalitas :
 
 SHM dan IMB
 
  
 
 Dapatkan Kemudahan Akses dari GAYA TOWN HILLS :
 
 5 menit ke Jl. A. H. Nasution (Borma, daerah komersil Bandung Timur)
 
 5 menit ke Gor Arcamanik
 
 10 menit ke Alun-alun Ujungberung
 
 10 menit ke SMAN 24 Bandung
 
 10 menit ke Antapani
 
 
 
 Nego silahkan survey terlebih dahulu.
 
 
 
 Berminat? Ingin survey terlebih dahulu? Info lebih lanjut? Hubungi segera marketing resmi kami di : (Nama Sendiri)
 
 Phone :
 
 LINE :
  ",NULL,"1","1",NULL,NULL,"1","1","1","1","2","1","1","1","3","1","2","3","1","3"
"9","1","Jl. Lengkong Tengah no 134","2","4","3.50E+08","84","45","1","2","2","1300.00",,"Deskripsi
  Jual Rumah Bandung Griya Bandung Asri Strategis Bebas Banjir
  Jual Rumah Bandung di Griya Bandung Asri Lokasi Strategis Bebas Banjir
 
 
 
 Spesifikasi :
 
 Luas Tanah 84 m²
 
 Luas Bangunan 45 m²
 
 Kamar Tidur 2
 
 Kamar Mandi 2
 
 Listrik 1300 Watt
 
 Telepon Rumah
 
 Jalan Utama 5 Meter
 
 Air pompa (Torn + Filter)
 
 SHM
 
 
 
 Akses :
 
 - 15 Menit menuju Tol Buah Batu
 
 - 15 Menit menuju Pasar Kordon
 
 - 10 Menit Menuju Transmart Buah Batu
 
 - 20 Menit menuju Jalan Raya Soekarno Hatta
 
 
 
 Harga 350 Juta
  ","1","1","1",NULL,NULL,"1","1","1",NULL,"1","1",NULL,"1","22","1","2","3","2","1"
"10","1","Jl. Golf Timur no 243","6","4","3.50E+10","945","350","2","4","4","2200.00",,"Deskripsi
  Jarang Ada Rumah Lux View Kota Bandung Di Villa Bandung Indah
  Dijual Segera Rumah Nyaman Lokasi Pegunungan Sangat Sejuk
 
 Lokasi Di Komplek Villa Bandung Indah
 
 
 
 Akses Mudah Sangat Dekat Ke Mana Mana Yang Pasti Bebas Banjir
 
 5 Menit Dari Pintu Tol Cileunyi
 
 10 Menit Ke Borma Cinunuk
 
 10 Menit Ke Griya Dll
 
 Dekat Kampus Ternama Di Cibiru
 
 Dekat Ke Kampus Jatinangor Dll
  ","1","1",NULL,"1","1",NULL,"1","1","2","1","1",NULL,"1","3","1","2","1","2","1"
